Date,Open,High,Low,Close
3/26/2020,136.19,138.83,134.89,138.36
3/27/2020,138.37,139.90,133.94,133.94
3/28/2020,134.03,134.03,126.96,130.99
3/29/2020,131.02,131.17,125.45,125.58
3/30/2020,125.58,133.91,125.29,132.90
3/31/2020,132.82,134.27,131.65,133.59
4/1/2020,133.61,135.63,129.73,135.63
4/2/2020,135.73,146.79,135.73,142.03
4/3/2020,142.11,146.90,139.62,142.09
4/4/2020,142.22,145.38,140.12,145.22
4/5/2020,145.26,146.13,142.10,143.55
4/6/2020,143.61,169.27,143.54,169.14
4/7/2020,169.15,175.20,164.20,165.10
4/8/2020,165.24,173.21,164.49,172.64
4/9/2020,172.76,172.90,167.99,170.81
4/10/2020,170.83,170.95,154.91,158.41
4/11/2020,158.54,161.17,155.30,158.22
4/12/2020,158.23,164.52,156.32,161.14
4/13/2020,160.72,160.75,151.61,156.28
4/14/2020,156.36,160.94,155.87,157.60
4/15/2020,157.57,160.71,152.80,153.29
4/16/2020,153.20,173.16,150.36,172.16
4/17/2020,172.28,174.28,169.75,171.64
4/18/2020,171.62,187.94,171.62,186.91
4/19/2020,186.86,188.10,180.12,181.61
4/20/2020,181.48,186.08,170.32,172.30
4/21/2020,172.02,175.18,170.55,172.74
4/22/2020,172.67,183.75,171.83,182.60
4/23/2020,182.62,189.09,180.34,185.03
4/24/2020,185.22,190.21,185.22,189.24
4/25/2020,189.21,196.79,188.46,195.52
4/26/2020,195.41,199.34,194.77,197.32
4/27/2020,197.48,199.55,193.45,197.22
4/28/2020,197.27,198.79,194.85,198.42
4/29/2020,198.47,218.45,198.12,216.97
4/30/2020,216.91,227.53,206.44,207.60
5/1/2020,207.90,217.63,207.78,214.22
5/2/2020,214.23,215.85,212.88,215.33
5/3/2020,215.35,219.27,208.69,210.93
5/4/2020,210.89,211.83,199.05,208.17
5/5/2020,208.01,211.78,204.03,206.77
5/6/2020,206.48,211.53,204.04,204.06
5/7/2020,203.91,214.39,202.07,212.29
5/8/2020,212.20,216.33,208.83,212.99
